"Area","FYear","Quarter","Species","Landed_kg","Released_kg","NumQuarterc","QuarterIDc","TotalCatch"
"5AB",1973,"Apr-Jun",222,1161216,0,1,19731,1161216
"5AB",1973,"Jul-Sep",222,569721.6,0,2,19732,569721.6
"5AB",1973,"Oct-Dec",222,70761.6,0,3,19733,70761.6
"5AB",1973,"Jan-Mar",222,59875.2,0,4,19734,59875.2
"5AB",1974,"Apr-Jun",222,1316347.2,0,1,19741,1316347.2
"5AB",1974,"Jul-Sep",222,800604,0,2,19742,800604
"5AB",1974,"Oct-Dec",222,114760.8,0,3,19743,114760.8
"5AB",1974,"Jan-Mar",222,5443.2,0,4,19744,5443.2
"5AB",1975,"Apr-Jun",222,1069135.2,0,1,19751,1069135.2
"5AB",1975,"Jul-Sep",222,1080928.8,0,2,19752,1080928.8
"5AB",1975,"Oct-Dec",222,290757.6,0,3,19753,290757.6
"5AB",1975,"Jan-Mar",222,27216,0,4,19754,27216
"5AB",1976,"Apr-Jun",222,692647.2,0,1,19761,692647.2
"5AB",1976,"Jul-Sep",222,1246039.2,0,2,19762,1246039.2
"5AB",1976,"Oct-Dec",222,304819.2,0,3,19763,304819.2
"5AB",1976,"Jan-Mar",222,21772.8,0,4,19764,21772.8
"5AB",1977,"Apr-Jun",222,638215.2,0,1,19771,638215.2
"5AB",1977,"Jul-Sep",222,515743.2,0,2,19772,515743.2
"5AB",1977,"Oct-Dec",222,92080.8,0,3,19773,92080.8
"5AB",1977,"Jan-Mar",222,69400.8,0,4,19774,69400.8
"5AB",1978,"Apr-Jun",222,791532,0,1,19781,791532
"5AB",1978,"Jul-Sep",222,974332.8,0,2,19782,974332.8
"5AB",1978,"Oct-Dec",222,125193.6,0,3,19783,125193.6
"5AB",1978,"Jan-Mar",222,49896,0,4,19784,49896
"5AB",1979,"Apr-Jun",222,944848.8,0,1,19791,944848.8
"5AB",1979,"Jul-Sep",222,725306.4,0,2,19792,725306.4
"5AB",1979,"Oct-Dec",222,165110.4,0,3,19793,165110.4
"5AB",1979,"Jan-Mar",222,182800.8,0,4,19794,182800.8
"5AB",1980,"Apr-Jun",222,628689.6,0,1,19801,628689.6
"5AB",1980,"Jul-Sep",222,481723.2,0,2,19802,481723.2
"5AB",1980,"Oct-Dec",222,100245.6,0,3,19803,100245.6
"5AB",1980,"Jan-Mar",222,58514.4,0,4,19804,58514.4
"5AB",1981,"Apr-Jun",222,599659.2,0,1,19811,599659.2
"5AB",1981,"Jul-Sep",222,104328,0,2,19812,104328
"5AB",1981,"Oct-Dec",222,90720,0,3,19813,90720
"5AB",1981,"Jan-Mar",222,16350.35834,0,4,19814,16350.35834
"5AB",1982,"Apr-Jun",222,442478.0005,0,1,19821,442478.0005
"5AB",1982,"Jul-Sep",222,99541.41341,0,2,19822,99541.41341
"5AB",1982,"Oct-Dec",222,37204.93514,0,3,19823,37204.93514
"5AB",1982,"Jan-Mar",222,2000.362878,0,4,19824,2000.362878
"5AB",1983,"Apr-Jun",222,91017.87172,0,1,19831,91017.87172
"5AB",1983,"Jul-Sep",222,54025.21999,0,2,19832,54025.21999
"5AB",1983,"Oct-Dec",222,36410.23315,0,3,19833,36410.23315
"5AB",1983,"Jan-Mar",222,2644.924249,0,4,19834,2644.924249
"5AB",1984,"Apr-Jun",222,170726.6624,0,1,19841,170726.6624
"5AB",1984,"Jul-Sep",222,133128.9123,0,2,19842,133128.9123
"5AB",1984,"Oct-Dec",222,76061.41704,0,3,19843,76061.41704
"5AB",1984,"Jan-Mar",222,15375.12474,0,4,19844,15375.12474
"5AB",1985,"Apr-Jun",222,117828.631,0,1,19851,117828.631
"5AB",1985,"Jul-Sep",222,96857.02622,0,2,19852,96857.02622
"5AB",1985,"Oct-Dec",222,69372.67532,0,3,19853,69372.67532
"5AB",1985,"Jan-Mar",222,7323.777556,0,4,19854,7323.777556
"5AB",1986,"Apr-Jun",222,74102.78509,0,1,19861,74102.78509
"5AB",1986,"Jul-Sep",222,93943.57253,0,2,19862,93943.57253
"5AB",1986,"Oct-Dec",222,65722.12646,0,3,19863,65722.12646
"5AB",1986,"Jan-Mar",222,70459.49379,0,4,19864,70459.49379
"5AB",1987,"Apr-Jun",222,1654050.621,0,1,19871,1654050.621
"5AB",1987,"Jul-Sep",222,1186081.375,0,2,19872,1186081.375
"5AB",1987,"Oct-Dec",222,331789.8939,0,3,19873,331789.8939
"5AB",1987,"Jan-Mar",222,32000.81647,0,4,19874,32000.81647
"5AB",1988,"Apr-Jun",222,834008.8905,0,1,19881,834008.8905
"5AB",1988,"Jul-Sep",222,755580.1506,0,2,19882,755580.1506
"5AB",1988,"Oct-Dec",222,227487.9797,0,3,19883,227487.9797
"5AB",1988,"Jan-Mar",222,26300.00907,0,4,19884,26300.00907
"5AB",1989,"Apr-Jun",222,358492.2435,0,1,19891,358492.2435
"5AB",1989,"Jul-Sep",222,242082.4639,0,2,19892,242082.4639
"5AB",1989,"Oct-Dec",222,135673.5916,0,3,19893,135673.5916
"5AB",1989,"Jan-Mar",222,50010.43273,0,4,19894,50010.43273
"5AB",1990,"Apr-Jun",222,327380.4772,0,1,19901,327380.4772
"5AB",1990,"Jul-Sep",222,335734.8272,0,2,19902,335734.8272
"5AB",1990,"Oct-Dec",222,59245.21455,0,3,19903,59245.21455
"5AB",1990,"Jan-Mar",222,119537.331,0,4,19904,119537.331
"5AB",1991,"Apr-Jun",222,882726.1181,0,1,19911,882726.1181
"5AB",1991,"Jul-Sep",222,832289.7578,0,2,19912,832289.7578
"5AB",1991,"Oct-Dec",222,183329.8558,0,3,19913,183329.8558
"5AB",1991,"Jan-Mar",222,304884.3328,0,4,19914,304884.3328
"5AB",1992,"Apr-Jun",222,1033030.028,0,1,19921,1033030.028
"5AB",1992,"Jul-Sep",222,543014.6058,0,2,19922,543014.6058
"5AB",1992,"Oct-Dec",222,162443.0736,0,3,19923,162443.0736
"5AB",1992,"Jan-Mar",222,124703.3475,0,4,19924,124703.3475
"5AB",1993,"Apr-Jun",222,907213.0999,0,1,19931,907213.0999
"5AB",1993,"Jul-Sep",222,305152.8622,0,2,19932,305152.8622
"5AB",1993,"Oct-Dec",222,111426.5626,0,3,19933,111426.5626
"5AB",1993,"Jan-Mar",222,163277.2385,0,4,19934,163277.2385
"5AB",1994,"Apr-Jun",222,267405.425,0,1,19941,267405.425
"5AB",1994,"Jul-Sep",222,135064.8644,0,2,19942,135064.8644
"5AB",1994,"Oct-Dec",222,106781.2755,0,3,19943,106781.2755
"5AB",1994,"Jan-Mar",222,78856.4819,0,4,19944,78856.4819
"5AB",1995,"Apr-Jun",222,121097.7048,0,1,19951,121097.7048
"5AB",1995,"Jul-Sep",222,131323.1425,0,2,19952,131323.1425
"5AB",1995,"Oct-Dec",222,14995.46403,0,3,19953,14995.46403
"5AB",1995,"Jan-Mar",222,4986.08,1123.99,4,19954,6110.07
"5AB",1996,"Apr-Jun",222,66621.13,3574.87,1,19961,70196
"5AB",1996,"Jul-Sep",222,70121.96,12182.33,2,19962,82304.29
"5AB",1996,"Oct-Dec",222,33240.15,3124.01,3,19963,36364.16
"5AB",1996,"Jan-Mar",222,29018.41,4292.47,4,19964,33310.88
"5AB",1997,"Apr-Jun",222,35248.91,9027.01,1,19971,44275.92
"5AB",1997,"Jul-Sep",222,74918.35,12016.25,2,19972,86934.6
"5AB",1997,"Oct-Dec",222,22792.86,4072,3,19973,26864.86
"5AB",1997,"Jan-Mar",222,11910.55,1682.02,4,19974,13592.57
"5AB",1998,"Apr-Jun",222,36015.79,11414.57,1,19981,47430.36
"5AB",1998,"Jul-Sep",222,73966.86,9584.71,2,19982,83551.57
"5AB",1998,"Oct-Dec",222,17478.01,2541.11,3,19983,20019.12
"5AB",1998,"Jan-Mar",222,10243.27,3700.46,4,19984,13943.73
"5AB",1999,"Apr-Jun",222,28368.58,4875.83,1,19991,33244.41
"5AB",1999,"Jul-Sep",222,66217.58,7544.78,2,19992,73762.36
"5AB",1999,"Oct-Dec",222,9899.29,945.31,3,19993,10844.6
"5AB",1999,"Jan-Mar",222,8992.64,617.3,4,19994,9609.94
"5AB",2000,"Apr-Jun",222,17660.15,2272.06,1,20001,19932.21
"5AB",2000,"Jul-Sep",222,23696.34,3479.17,2,20002,27175.51
"5AB",2000,"Oct-Dec",222,9699.56,1930.99,3,20003,11630.55
"5AB",2000,"Jan-Mar",222,7482.03,800.99,4,20004,8283.02
"5AB",2001,"Apr-Jun",222,20319.95,2590.86,1,20011,22910.81
"5AB",2001,"Jul-Sep",222,29082.55,1759.39,2,20012,30841.94
"5AB",2001,"Oct-Dec",222,9837.3,861.6,3,20013,10698.9
"5AB",2001,"Jan-Mar",222,52006.46,2816.27,4,20014,54822.73
"5AB",2002,"Apr-Jun",222,59140.84,8162.18,1,20021,67303.02
"5AB",2002,"Jul-Sep",222,75561.49,18653.1,2,20022,94214.59
"5AB",2002,"Oct-Dec",222,25039.18,4506.47,3,20023,29545.65
"5AB",2002,"Jan-Mar",222,23337.46,5521.24,4,20024,28858.7
"5AB",2003,"Apr-Jun",222,82393.4,16186.13,1,20031,98579.53
"5AB",2003,"Jul-Sep",222,171844.64,24269.83,2,20032,196114.47
"5AB",2003,"Oct-Dec",222,34140.51,3491.78,3,20033,37632.29
"5AB",2003,"Jan-Mar",222,13608.02,4916.15,4,20034,18524.17
"5AB",2004,"Apr-Jun",222,116007.14,32764.24,1,20041,148771.38
"5AB",2004,"Jul-Sep",222,162540.2,31150.68,2,20042,193690.88
"5AB",2004,"Oct-Dec",222,38765.26,4307.39,3,20043,43072.65
"5AB",2004,"Jan-Mar",222,18235.36,1944.54,4,20044,20179.9
"5AB",2005,"Apr-Jun",222,91023.1,7484.48,1,20051,98507.58
"5AB",2005,"Jul-Sep",222,179627.6,13131.31,2,20052,192758.91
"5AB",2005,"Oct-Dec",222,28448.09,3061.83,3,20053,31509.92
"5AB",2005,"Jan-Mar",222,21093.98,3490.86,4,20054,24584.84
"5AB",2006,"Apr-Jun",222,82940.91,8636.99,1,20061,91577.9
"5AB",2006,"Jul-Sep",222,87529.39,3674.17,2,20062,91203.56
"5AB",2006,"Oct-Dec",222,19223.87,1522.74,3,20063,20746.61
"5AB",2006,"Jan-Mar",222,7732.14,661.82,4,20064,8393.96
"5AB",2007,"Apr-Jun",222,20298.34,1366.31,1,20071,21664.65
"5AB",2007,"Jul-Sep",222,42804.86,3792.57,2,20072,46597.43
"5AB",2007,"Oct-Dec",222,7790.45,938.92,3,20073,8729.37
"5AB",2007,"Jan-Mar",222,1124.72,201.85,4,20074,1326.57
"5AB",2008,"Apr-Jun",222,7267.91,1406.15,1,20081,8674.06
"5AB",2008,"Jul-Sep",222,15278.28,1596.15,2,20082,16874.43
"5AB",2008,"Oct-Dec",222,4691.86,68.96,3,20083,4760.82
"5AB",2008,"Jan-Mar",222,3929.28,487.21,4,20084,4416.49
"5AB",2009,"Apr-Jun",222,26930.36,6245.66,1,20091,33176.02
"5AB",2009,"Jul-Sep",222,46835.57,8126.61,2,20092,54962.18
"5AB",2009,"Oct-Dec",222,23035.4,8230.05,3,20093,31265.45
"5AB",2009,"Jan-Mar",222,31961.04,2118.72,4,20094,34079.76
"5AB",2010,"Apr-Jun",222,131612.33,6614.91,1,20101,138227.24
"5AB",2010,"Jul-Sep",222,238204.82,10061.32,2,20102,248266.14
"5AB",2010,"Oct-Dec",222,86269.98,1862.12,3,20103,88132.1
"5AB",2010,"Jan-Mar",222,16510.06,299.43,4,20104,16809.49
"5AB",2011,"Apr-Jun",222,90554.09,1062.77,1,20111,91616.86
"5AB",2011,"Jul-Sep",222,227374.16,951.66,2,20112,228325.82
"5AB",2011,"Oct-Dec",222,42328.34,441.84,3,20113,42770.18
"5AB",2011,"Jan-Mar",222,1996.13,44.91,4,20114,2041.04
"5AB",2012,"Apr-Jun",222,37905.57,1351.32,1,20121,39256.89
"5AB",2012,"Jul-Sep",222,100381.62,2104.26,2,20122,102485.88
"5AB",2012,"Oct-Dec",222,32524.09,256.28,3,20123,32780.37
"5AB",2012,"Jan-Mar",222,3497.46,595.13,4,20124,4092.59
